age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,previous,poutcome,deposit,job_was_unknown,education_was_unknown,contact_was_unknown,poutcome_was_unknown,was_previously_contacted,effective_pdays,balance_per_contact,duration_per_contact,has_any_loan,month_num,quarter,age_group,balance_band,campaign_band,age_minmax,balance_minmax,day_minmax,duration_minmax,campaign_minmax,previous_minmax,balance_per_contact_minmax,duration_per_contact_minmax
41.0,admin.,divorced,secondary,no,270,yes,no,missing,5,222,1,0,missing,no,0,0,1,1,0,,270.0,222.0,1,5,q2,36-50,medium,1_contact,0.2987012987012987,0.07525466199408058,0.13333333333333333,0.04514030093533957,0.0,0.0,0.06530915631251491,0.04514030093533957
29.0,admin.,single,secondary,no,390,yes,no,missing,5,137,1,0,missing,no,0,0,1,1,0,,390.0,137.0,1,5,q2,26-35,medium,1_contact,0.14285714285714285,0.07634412507036116,0.13333333333333333,0.027856852379015862,0.0,0.0,0.06641033641051994,0.027856852379015862
53.0,technician,married,secondary,no,6,yes,no,missing,5,517,1,0,missing,no,0,0,1,1,0,,6.0,517.0,1,5,q2,51-65,low,1_contact,0.45454545454545453,0.07285784322626332,0.13333333333333333,0.10512403416022774,0.0,0.0,0.06288656009690385,0.10512403416022774
58.0,technician,married,secondary,no,71,yes,no,missing,5,71,1,0,missing,no,0,1,1,1,0,,71.0,71.0,1,5,q2,51-65,low,1_contact,0.5194805194805194,0.07344796905924864,0.13333333333333333,0.014436762911752745,0.0,0.0,0.0634830326499899,0.014436762911752745
57.0,services,married,secondary,no,162,yes,no,missing,5,174,1,0,missing,no,0,0,1,1,0,,162.0,174.0,1,5,q2,51-65,medium,1_contact,0.5064935064935064,0.07427414522542806,0.13333333333333333,0.03538023586823912,0.0,0.0,0.06431809422431038,0.03538023586823912
51.0,retired,married,primary,no,229,yes,no,missing,5,353,1,0,missing,no,0,0,1,1,0,,229.0,353.0,1,5,q2,51-65,medium,1_contact,0.42857142857142855,0.07488242877635139,0.13333333333333333,0.07177714518096787,0.0,0.0,0.06493291977902986,0.07177714518096787
45.0,admin.,single,secondary,no,13,yes,no,missing,5,98,1,0,missing,no,0,1,1,1,0,,13.0,98.0,1,5,q2,36-50,low,1_contact,0.35064935064935066,0.07292139523904635,0.13333333333333333,0.019926799511996746,0.0,0.0,0.0629507956026208,0.019926799511996746
57.0,blue-collar,married,primary,no,52,yes,no,missing,5,38,1,0,missing,no,0,0,1,1,0,,52.0,38.0,1,5,q2,51-65,low,1_contact,0.5064935064935064,0.07327547073883754,0.13333333333333333,0.0077267181781211875,0.0,0.0,0.06330867913447244,0.0077267181781211875
60.0,retired,married,primary,no,60,yes,no,missing,5,219,1,0,missing,no,0,0,1,1,0,,60.0,219.0,1,5,q2,51-65,low,1_contact,0.5454545454545454,0.07334810161058958,0.13333333333333333,0.04453029686864579,0.0,0.0,0.06338209114100611,0.04453029686864579
33.0,services,married,secondary,no,0,yes,no,missing,5,54,1,0,missing,no,0,0,1,1,0,,0.0,54.0,1,5,q2,26-35,low,1_contact,0.19480519480519481,0.07280337007244929,0.13333333333333333,0.010980073200488003,0.0,0.0,0.0628315010920036,0.010980073200488003
28.0,blue-collar,married,secondary,no,723,yes,yes,missing,5,262,1,0,missing,no,0,0,1,1,0,,723.0,262.0,1,5,q2,26-35,high,1_contact,0.12987012987012986,0.07936738510703975,0.13333333333333333,0.05327368849125661,0.0,0.0,0.0694661111824839,0.05327368849125661
38.0,management,married,tertiary,no,779,yes,no,missing,5,164,1,0,missing,no,0,0,1,1,0,,779.0,164.0,1,5,q2,36-50,high,1_contact,0.2597402597402597,0.07987580120930401,0.13333333333333333,0.03334688897925986,0.0,0.0,0.06997999522821957,0.03334688897925986
32.0,blue-collar,single,primary,no,23,yes,yes,missing,5,160,1,0,missing,no,0,0,1,1,0,,23.0,160.0,1,5,q2,26-35,low,1_contact,0.18181818181818182,0.07301218382873641,0.13333333333333333,0.032533550223668155,0.0,0.0,0.06304256061078789,0.032533550223668155
25.0,services,married,secondary,no,50,yes,no,missing,5,342,1,0,missing,no,0,0,1,1,0,,50.0,342.0,1,5,q2,18-25,low,1_contact,0.09090909090909091,0.07325731302089954,0.13333333333333333,0.06954046360309069,0.0,0.0,0.06329032613283903,0.06954046360309069
40.0,retired,married,primary,no,0,yes,yes,missing,5,181,1,0,missing,no,0,0,1,1,0,,0.0,181.0,1,5,q2,36-50,low,1_contact,0.2857142857142857,0.07280337007244929,0.13333333333333333,0.036803578690524606,0.0,0.0,0.0628315010920036,0.036803578690524606
44.0,admin.,married,secondary,no,-372,yes,no,missing,5,172,1,0,missing,no,0,0,1,1,0,,-372.0,172.0,1,5,q2,36-50,low,1_contact,0.33766233766233766,0.06942603453597952,0.13333333333333333,0.03497356649044327,0.0,0.0,0.059417842788188006,0.03497356649044327
39.0,management,single,tertiary,no,255,yes,no,missing,5,296,1,0,missing,no,0,0,1,1,0,,255.0,296.0,1,5,q2,36-50,medium,1_contact,0.2727272727272727,0.07511847910954551,0.13333333333333333,0.06018706791378609,0.0,0.0,0.06517150880026429,0.06018706791378609
52.0,entrepreneur,married,secondary,no,113,yes,yes,missing,5,127,1,0,missing,no,0,0,1,1,0,,113.0,127.0,1,5,q2,51-65,medium,1_contact,0.44155844155844154,0.07382928113594683,0.13333333333333333,0.0258235054900366,0.0,0.0,0.06386844568429166,0.0258235054900366
38.0,management,single,secondary,no,-246,yes,no,missing,5,255,2,0,missing,no,0,0,1,1,0,,-123.0,127.5,1,5,q2,36-50,low,2_to_3,0.2597402597402597,0.07056997076607412,0.13333333333333333,0.05185034566897113,0.016129032258064516,0.0,0.06170279149154844,0.025925172834485564
36.0,technician,single,secondary,no,265,yes,yes,missing,5,348,1,0,missing,no,0,0,1,1,0,,265.0,348.0,1,5,q2,36-50,medium,1_contact,0.23376623376623376,0.07520926769923555,0.13333333333333333,0.07076047173647824,0.0,0.0,0.06526327380843137,0.07076047173647824
57.0,technician,married,secondary,no,839,no,yes,missing,5,225,1,0,missing,no,0,0,1,1,0,,839.0,225.0,1,5,q2,51-65,high,1_contact,0.5064935064935064,0.0804205327474443,0.13333333333333333,0.045750305002033344,0.0,0.0,0.07053058527722209,0.045750305002033344
49.0,management,married,tertiary,no,378,yes,no,missing,5,230,1,0,missing,no,0,0,1,1,0,,378.0,230.0,1,5,q2,36-50,medium,1_contact,0.4025974025974026,0.0762351787627331,0.13333333333333333,0.04676697844652298,0.0,0.0,0.06630021840071944,0.04676697844652298
60.0,admin.,married,secondary,no,39,yes,yes,missing,5,208,1,0,missing,no,0,0,1,1,0,,39.0,208.0,1,5,q2,51-65,low,1_contact,0.5454545454545454,0.07315744557224048,0.13333333333333333,0.0422936152907686,0.0,0.0,0.06318938462385523,0.0422936152907686
59.0,blue-collar,married,secondary,no,0,yes,no,missing,5,226,1,0,missing,no,0,0,1,1,0,,0.0,226.0,1,5,q2,51-65,low,1_contact,0.5324675324675324,0.07280337007244929,0.13333333333333333,0.045953639690931275,0.0,0.0,0.0628315010920036,0.045953639690931275
51.0,management,married,tertiary,no,10635,yes,no,missing,5,336,1,0,missing,no,0,0,0,1,0,,10635.0,336.0,1,5,q2,51-65,very_high,1_contact,0.42857142857142855,0.1693570352078151,0.13333333333333333,0.06832045546970313,0.0,0.0,0.16042358727769926,0.06832045546970313
57.0,technician,divorced,secondary,no,63,yes,no,missing,5,242,1,0,missing,no,0,0,1,1,0,,63.0,242.0,1,5,q2,51-65,low,1_contact,0.5064935064935064,0.0733753381874966,0.13333333333333333,0.04920699471329809,0.0,0.0,0.06340962064345623,0.04920699471329809
25.0,blue-collar,married,secondary,no,-7,yes,no,missing,5,365,1,0,missing,no,0,0,1,1,0,,-7.0,365.0,1,5,q2,18-25,low,1_contact,0.09090909090909091,0.07273981805966626,0.13333333333333333,0.07421716144774299,0.0,0.0,0.06276726558628663,0.07421716144774299
53.0,technician,married,secondary,no,-3,no,no,missing,5,1666,1,0,missing,no,0,0,1,1,0,,-3.0,1666.0,0,5,q2,51-65,low,1_contact,0.45454545454545453,0.07277613349554228,0.13333333333333333,0.3387555917039447,0.0,0.0,0.06280397158955348,0.3387555917039447
36.0,admin.,divorced,secondary,no,506,yes,no,missing,5,577,1,0,missing,no,0,0,1,1,0,,506.0,577.0,1,5,q2,36-50,high,1_contact,0.23376623376623376,0.07739727271076571,0.13333333333333333,0.11732411549410329,0.0,0.0,0.06747481050525814,0.11732411549410329
37.0,admin.,single,secondary,no,0,yes,no,missing,5,137,1,0,missing,no,0,0,1,1,0,,0.0,137.0,1,5,q2,36-50,low,1_contact,0.24675324675324675,0.07280337007244929,0.13333333333333333,0.027856852379015862,0.0,0.0,0.0628315010920036,0.027856852379015862
44.0,services,divorced,secondary,no,2586,yes,no,missing,5,160,1,0,missing,no,0,0,1,1,0,,2586.0,160.0,1,5,q2,36-50,very_high,1_contact,0.33766233766233766,0.09628129936629565,0.13333333333333333,0.032533550223668155,0.0,0.0,0.08656193220401197,0.032533550223668155
38.0,management,married,secondary,no,49,yes,no,missing,5,180,2,0,missing,no,0,0,1,1,0,,24.5,90.0,1,5,q2,36-50,low,2_to_3,0.2597402597402597,0.07324823416193053,0.13333333333333333,0.036600244001626675,0.016129032258064516,0.0,0.06305632536201296,0.018300122000813338
60.0,blue-collar,married,secondary,no,104,yes,no,missing,5,22,1,0,missing,no,0,1,1,1,0,,104.0,22.0,1,5,q2,51-65,medium,1_contact,0.5454545454545454,0.0737475714052258,0.13333333333333333,0.004473363155754371,0.0,0.0,0.06378585717694128,0.004473363155754371
54.0,retired,married,secondary,no,529,yes,no,missing,5,1492,1,0,missing,no,0,0,1,1,0,,529.0,1492.0,1,5,q2,51-65,high,1_contact,0.4675324675324675,0.07760608646705282,0.13333333333333333,0.3033753558357056,0.0,0.0,0.06768587002404243,0.3033753558357056
58.0,retired,married,secondary,no,96,yes,no,missing,5,616,1,0,missing,no,0,1,1,1,0,,96.0,616.0,1,5,q2,51-65,medium,1_contact,0.5194805194805194,0.07367494053347376,0.13333333333333333,0.1252541683611224,0.0,0.0,0.06371244517040763,0.1252541683611224
36.0,admin.,single,primary,no,-171,yes,no,missing,5,242,1,0,missing,no,0,0,1,1,0,,-171.0,242.0,1,5,q2,36-50,low,1_contact,0.23376623376623376,0.07125088518874947,0.13333333333333333,0.04920699471329809,0.0,0.0,0.061262319452346434,0.04920699471329809
58.0,self-employed,married,tertiary,no,-364,yes,no,missing,5,355,1,0,missing,no,0,0,1,1,0,,-364.0,355.0,1,5,q2,51-65,low,1_contact,0.5194805194805194,0.06949866540773156,0.13333333333333333,0.07218381455876373,0.0,0.0,0.05949125479472168,0.07218381455876373
44.0,technician,married,secondary,no,0,yes,no,missing,5,225,2,0,missing,no,0,0,1,1,0,,0.0,112.5,1,5,q2,36-50,low,2_to_3,0.33766233766233766,0.07280337007244929,0.13333333333333333,0.045750305002033344,0.016129032258064516,0.0,0.0628315010920036,0.022875152501016672
55.0,technician,divorced,secondary,no,0,no,no,missing,5,160,1,0,missing,no,0,0,1,1,0,,0.0,160.0,0,5,q2,51-65,low,1_contact,0.4805194805194805,0.07280337007244929,0.13333333333333333,0.032533550223668155,0.0,0.0,0.0628315010920036,0.032533550223668155
29.0,management,single,tertiary,no,0,yes,no,missing,5,363,1,0,missing,no,0,0,1,1,0,,0.0,363.0,1,5,q2,26-35,low,1_contact,0.14285714285714285,0.07280337007244929,0.13333333333333333,0.07381049206994714,0.0,0.0,0.0628315010920036,0.07381049206994714
54.0,blue-collar,married,secondary,no,1291,yes,no,missing,5,266,1,0,missing,no,0,0,1,1,0,,1291.0,266.0,1,5,q2,51-65,high,1_contact,0.4675324675324675,0.08452417700143446,0.13333333333333333,0.054087027246848315,0.0,0.0,0.07467836364637437,0.054087027246848315
48.0,management,divorced,tertiary,no,-244,yes,no,missing,5,253,1,0,missing,no,0,0,1,1,0,,-244.0,253.0,1,5,q2,36-50,low,1_contact,0.38961038961038963,0.07058812848401214,0.13333333333333333,0.05144367629117527,0.0,0.0,0.060592434892726706,0.05144367629117527
32.0,management,married,tertiary,no,0,yes,no,missing,5,179,1,0,missing,no,0,0,1,1,0,,0.0,179.0,1,5,q2,26-35,low,1_contact,0.18181818181818182,0.07280337007244929,0.13333333333333333,0.03639690931272875,0.0,0.0,0.0628315010920036,0.03639690931272875
42.0,admin.,single,secondary,no,-76,yes,no,missing,5,787,1,0,missing,no,0,0,1,1,0,,-76.0,787.0,1,5,q2,36-50,low,1_contact,0.3116883116883117,0.07211337679080493,0.13333333333333333,0.16002440016266775,0.0,0.0,0.06213408702993375,0.16002440016266775
24.0,technician,single,secondary,no,-103,yes,yes,missing,5,145,1,0,missing,no,0,0,1,1,0,,-103.0,145.0,1,5,q2,18-25,low,1_contact,0.07792207792207792,0.0718682475986418,0.13333333333333333,0.029483529890199266,0.0,0.0,0.06188632150788261,0.029483529890199266
38.0,entrepreneur,single,tertiary,no,243,no,yes,missing,5,174,1,0,missing,no,0,0,1,1,0,,243.0,174.0,1,5,q2,36-50,medium,1_contact,0.2597402597402597,0.07500953280191745,0.13333333333333333,0.03538023586823912,0.0,0.0,0.06506139079046377,0.03538023586823912
38.0,management,single,tertiary,no,424,yes,no,missing,5,104,1,0,missing,no,0,0,1,1,0,,424.0,104.0,1,5,q2,36-50,medium,1_contact,0.2597402597402597,0.07665280627530732,0.13333333333333333,0.0211468076453843,0.0,0.0,0.06672233743828804,0.0211468076453843
47.0,blue-collar,married,secondary,no,306,yes,no,missing,5,13,1,0,missing,no,0,1,1,1,0,,306.0,13.0,1,5,q2,36-50,medium,1_contact,0.37662337662337664,0.07558150091696475,0.13333333333333333,0.0026433509556730377,0.0,0.0,0.06563951034191642,0.0026433509556730377
40.0,blue-collar,single,secondary,no,24,yes,no,missing,5,185,1,0,missing,no,0,1,1,1,0,,24.0,185.0,1,5,q2,36-50,low,1_contact,0.2857142857142857,0.07302126268770541,0.13333333333333333,0.03761691744611631,0.0,0.0,0.0630517371116046,0.03761691744611631
46.0,services,married,primary,no,179,yes,no,missing,5,1778,1,0,missing,no,0,0,1,1,0,,179.0,1778.0,1,5,q2,36-50,medium,1_contact,0.36363636363636365,0.07442848582790115,0.13333333333333333,0.3615290768605124,0.0,0.0,0.06447409473819443,0.3615290768605124
32.0,admin.,married,tertiary,no,0,yes,no,missing,5,138,1,0,missing,no,0,0,1,1,0,,0.0,138.0,1,5,q2,26-35,low,1_contact,0.18181818181818182,0.07280337007244929,0.13333333333333333,0.028060187067913786,0.0,0.0,0.0628315010920036,0.028060187067913786
53.0,technician,divorced,secondary,no,989,yes,no,missing,5,812,1,0,missing,no,0,0,1,1,0,,989.0,812.0,1,5,q2,51-65,high,1_contact,0.45454545454545453,0.08178236159279502,0.13333333333333333,0.1651077673851159,0.0,0.0,0.07190706039972837,0.1651077673851159
57.0,blue-collar,married,primary,no,249,yes,no,missing,5,164,1,0,missing,no,0,0,1,1,0,,249.0,164.0,1,5,q2,51-65,medium,1_contact,0.5064935064935064,0.07506400595573148,0.13333333333333333,0.03334688897925986,0.0,0.0,0.06511644979536403,0.03334688897925986
33.0,services,married,secondary,no,790,yes,no,missing,5,391,1,0,missing,no,0,0,1,1,0,,790.0,391.0,1,5,q2,26-35,high,1_contact,0.19480519480519481,0.07997566865796307,0.13333333333333333,0.07950386335908906,0.0,0.0,0.07008093673720336,0.07950386335908906
49.0,blue-collar,married,secondary,no,154,yes,no,missing,5,357,1,0,missing,no,0,1,1,1,0,,154.0,357.0,1,5,q2,36-50,medium,1_contact,0.4025974025974026,0.07420151435367603,0.13333333333333333,0.07259048393655958,0.0,0.0,0.06424468221777671,0.07259048393655958
51.0,management,married,tertiary,no,6530,yes,no,missing,5,91,1,0,missing,no,0,0,1,1,0,,6530.0,91.0,1,5,q2,51-65,very_high,1_contact,0.42857142857142855,0.13208831914005048,0.13333333333333333,0.018503456689711265,0.0,0.0,0.12275405142511057,0.018503456689711265
60.0,retired,married,tertiary,no,100,no,no,missing,5,528,1,0,missing,no,0,0,1,1,0,,100.0,528.0,0,5,q2,51-65,medium,1_contact,0.5454545454545454,0.07371125596934977,0.13333333333333333,0.10736071573810492,0.0,0.0,0.06374915117367445,0.10736071573810492
59.0,management,divorced,tertiary,no,59,yes,no,missing,5,273,1,0,missing,no,0,0,1,1,0,,59.0,273.0,1,5,q2,51-65,low,1_contact,0.5324675324675324,0.07333902275162058,0.13333333333333333,0.05551037006913379,0.0,0.0,0.0633729146401894,0.05551037006913379
55.0,technician,married,secondary,no,1205,yes,no,missing,5,158,2,0,missing,no,0,0,1,1,0,,602.5,79.0,1,5,q2,51-65,high,2_to_3,0.4805194805194805,0.08374339513010005,0.13333333333333333,0.032126880845872306,0.016129032258064516,0.0,0.06836034283407051,0.016063440422936153
35.0,blue-collar,single,secondary,no,12223,yes,yes,missing,5,177,1,0,missing,no,0,0,1,1,0,,12223.0,177.0,1,5,q2,26-35,very_high,1_contact,0.22077922077922077,0.18377426325059468,0.13333333333333333,0.0359902399349329,0.0,0.0,0.17499587057463248,0.0359902399349329
57.0,blue-collar,married,secondary,no,5935,yes,yes,missing,5,258,1,0,missing,no,0,0,1,1,0,,5935.0,258.0,1,5,q2,51-65,very_high,1_contact,0.5064935064935064,0.12668639805349263,0.13333333333333333,0.05246034973566491,0.0,0.0,0.11729403343916897,0.05246034973566491
31.0,services,married,secondary,no,25,yes,yes,missing,5,172,1,0,missing,no,0,0,1,1,0,,25.0,172.0,1,5,q2,26-35,low,1_contact,0.16883116883116883,0.07303034154667441,0.13333333333333333,0.03497356649044327,0.0,0.0,0.06306091361242132,0.03497356649044327
54.0,management,married,secondary,no,282,yes,yes,missing,5,154,1,0,missing,no,0,0,1,1,0,,282.0,154.0,1,5,q2,51-65,medium,1_contact,0.4675324675324675,0.07536360830170864,0.13333333333333333,0.0313135420902806,0.0,0.0,0.06541927432231541,0.0313135420902806
55.0,blue-collar,married,primary,no,23,yes,no,missing,5,291,1,0,missing,no,0,0,1,1,0,,23.0,291.0,1,5,q2,51-65,low,1_contact,0.4805194805194805,0.07301218382873641,0.13333333333333333,0.059170394469296464,0.0,0.0,0.06304256061078789,0.059170394469296464
43.0,technician,married,secondary,no,1937,yes,no,missing,5,181,1,0,missing,no,0,0,1,1,0,,1937.0,181.0,1,5,q2,36-50,very_high,1_contact,0.3246753246753247,0.09038911989541154,0.13333333333333333,0.036803578690524606,0.0,0.0,0.08060638317396811,0.036803578690524606
53.0,technician,married,secondary,no,384,yes,no,missing,5,176,1,0,missing,no,0,0,1,1,0,,384.0,176.0,1,5,q2,51-65,medium,1_contact,0.45454545454545453,0.07628965191654713,0.13333333333333333,0.03578690524603497,0.0,0.0,0.0663552774056197,0.03578690524603497
44.0,blue-collar,married,secondary,no,582,no,yes,missing,5,211,1,0,missing,no,0,0,1,1,0,,582.0,211.0,1,5,q2,36-50,high,1_contact,0.33766233766233766,0.07808726599241007,0.13333333333333333,0.04290361935746238,0.0,0.0,0.06817222456732798,0.04290361935746238
55.0,services,divorced,secondary,no,91,no,no,missing,5,349,1,0,missing,no,0,0,1,1,0,,91.0,349.0,0,5,q2,51-65,medium,1_contact,0.4805194805194805,0.07362954623862873,0.13333333333333333,0.07096380642537617,0.0,0.0,0.06366656266632408,0.07096380642537617
49.0,services,divorced,secondary,no,0,yes,yes,missing,5,272,1,0,missing,no,0,0,1,1,0,,0.0,272.0,1,5,q2,36-50,low,1_contact,0.4025974025974026,0.07280337007244929,0.13333333333333333,0.05530703538023587,0.0,0.0,0.0628315010920036,0.05530703538023587
55.0,services,divorced,secondary,yes,1,yes,no,missing,5,208,1,0,missing,no,0,0,1,1,0,,1.0,208.0,1,5,q2,51-65,low,1_contact,0.4805194805194805,0.0728124489314183,0.13333333333333333,0.0422936152907686,0.0,0.0,0.0628406775928203,0.0422936152907686
45.0,admin.,single,secondary,no,206,yes,no,missing,5,193,1,0,missing,no,0,0,1,1,0,,206.0,193.0,1,5,q2,36-50,medium,1_contact,0.35064935064935066,0.07467361502006428,0.13333333333333333,0.03924359495729972,0.0,0.0,0.06472186026024557,0.03924359495729972
47.0,services,divorced,secondary,no,164,no,no,missing,5,212,1,0,missing,no,0,0,1,1,0,,164.0,212.0,0,5,q2,36-50,medium,1_contact,0.37662337662337664,0.07429230294336608,0.13333333333333333,0.04310695404636031,0.0,0.0,0.0643364472259438,0.04310695404636031
42.0,technician,single,secondary,no,690,yes,no,missing,5,20,1,0,missing,no,0,0,0,1,0,,690.0,20.0,1,5,q2,36-50,high,1_contact,0.3116883116883117,0.07906778276106259,0.13333333333333333,0.004066693777958519,0.0,0.0,0.06916328665553251,0.004066693777958519
59.0,admin.,married,secondary,no,2343,yes,no,missing,5,1042,1,0,missing,yes,0,0,1,1,0,,2343.0,1042.0,1,5,q2,51-65,very_high,1_contact,0.5324675324675324,0.09407513663682748,0.13333333333333333,0.21187474583163887,0.0,0.0,0.08433204250555178,0.21187474583163887
46.0,self-employed,married,tertiary,no,137,yes,yes,missing,5,246,1,0,missing,no,0,0,1,1,0,,137.0,246.0,1,5,q2,36-50,medium,1_contact,0.36363636363636365,0.07404717375120295,0.13333333333333333,0.050020333468889795,0.0,0.0,0.06408868170389267,0.050020333468889795
51.0,blue-collar,married,primary,no,173,yes,no,missing,5,529,2,0,missing,no,0,0,1,1,0,,86.5,264.5,1,5,q2,51-65,medium,2_to_3,0.42857142857142855,0.07437401267408712,0.13333333333333333,0.10756405042700284,0.016129032258064516,0.0,0.06362526841264889,0.05378202521350142
56.0,admin.,married,secondary,no,45,no,no,missing,5,1467,1,0,missing,yes,0,0,1,1,0,,45.0,1467.0,0,5,q2,51-65,low,1_contact,0.4935064935064935,0.07321191872605451,0.13333333333333333,0.2982919886132574,0.0,0.0,0.06324444362875549,0.2982919886132574
41.0,technician,married,secondary,no,1270,yes,no,missing,5,1389,1,0,missing,yes,0,0,1,1,0,,1270.0,1389.0,1,5,q2,36-50,high,1_contact,0.2987012987012987,0.08433352096308536,0.13333333333333333,0.2824318828792192,0.0,0.0,0.07448565712922349,0.2824318828792192
46.0,management,divorced,secondary,no,16,yes,yes,missing,5,188,2,0,missing,no,0,0,1,1,0,,8.0,94.0,1,5,q2,36-50,low,2_to_3,0.36363636363636365,0.07294863181595337,0.13333333333333333,0.03822692151281008,0.016129032258064516,0.0,0.06290491309853727,0.01911346075640504
57.0,retired,married,secondary,no,486,yes,no,missing,5,180,2,0,missing,no,0,0,1,1,0,,243.0,90.0,1,5,q2,51-65,high,2_to_3,0.5064935064935064,0.07721569553138562,0.13333333333333333,0.036600244001626675,0.016129032258064516,0.0,0.06506139079046377,0.018300122000813338
42.0,management,single,secondary,no,50,no,no,missing,5,48,1,0,missing,no,0,0,1,1,0,,50.0,48.0,0,5,q2,36-50,low,1_contact,0.3116883116883117,0.07325731302089954,0.13333333333333333,0.009760065067100447,0.0,0.0,0.06329032613283903,0.009760065067100447
30.0,technician,married,secondary,no,152,yes,yes,missing,5,213,2,0,missing,no,0,0,1,1,0,,76.0,106.5,1,5,q2,26-35,medium,2_to_3,0.15584415584415584,0.07418335663573802,0.13333333333333333,0.04331028873525823,0.016129032258064516,0.0,0.06352891515407345,0.021655144367629116
60.0,admin.,married,secondary,no,290,yes,no,missing,5,583,1,0,missing,no,0,0,1,1,0,,290.0,583.0,1,5,q2,51-65,medium,1_contact,0.5454545454545454,0.07543623917346068,0.13333333333333333,0.11854412362749085,0.0,0.0,0.06549268632884908,0.11854412362749085
60.0,blue-collar,married,secondary,no,54,yes,no,missing,5,221,1,0,missing,no,0,1,1,1,0,,54.0,221.0,1,5,q2,51-65,low,1_contact,0.5454545454545454,0.07329362845677555,0.13333333333333333,0.04493696624644164,0.0,0.0,0.06332703213610585,0.04493696624644164
57.0,entrepreneur,divorced,secondary,no,-37,no,no,missing,5,173,1,0,missing,no,0,0,1,1,0,,-37.0,173.0,0,5,q2,51-65,low,1_contact,0.5064935064935064,0.07246745229059612,0.13333333333333333,0.0351769011793412,0.0,0.0,0.06249197056178538,0.0351769011793412
36.0,management,married,tertiary,no,101,yes,yes,missing,5,426,1,0,missing,no,0,0,1,1,0,,101.0,426.0,1,5,q2,36-50,medium,1_contact,0.23376623376623376,0.07372033482831877,0.13333333333333333,0.08662057747051646,0.0,0.0,0.06375832767449116,0.08662057747051646
55.0,blue-collar,married,secondary,no,383,no,no,missing,5,287,1,0,missing,no,0,0,1,1,0,,383.0,287.0,0,5,q2,51-65,medium,1_contact,0.4805194805194805,0.07628057305757813,0.13333333333333333,0.05835705571370476,0.0,0.0,0.06634610090480297,0.05835705571370476
